Key,Value,T
382613,Caarcun Manor,卡尔康庄园
1435144,The Flying Goat Hostel,飞行山羊旅馆
2484750,Ruins of The Caorchom Farmstead,库尔霍姆农业斯特德的废墟
3533330,Singing Star of Stendarr,Stendarr的唱歌明星
4582840,The Dead Griffin Inn,死去的格里芬旅馆
5631489,Sacred Rebirth of Stendarr,Stendarr的神圣重生
6681069,Ruins of The F'igta Farmstead,f'igta farmstead的废墟
7730553,Blessed Prophet of Stendarr,Stendarr的祝福先知
8779219,Maorn's Guard,马恩的后卫
9828725,The Old Nheth Place,旧的Nheth地方
10878349,Atriga,阿特里加
11926957,The Tombs of Klerd,克莱尔德的坟墓
12975535,The Old Luctta Shack,旧的Luctta棚屋
14025104,Bubyrydata,bubyrydata
15074640,The Bat and Bird Hostel,蝙蝠和鸟类旅馆
16124193,Berbaaqnia,Berbaaqnia
17174726,THe Crypts of Rhajom,Rhajom的地下室
18223327,Groleten,Groleten
19271936,Ruins of Old Stectti's Place,旧的Stectti的废墟
20320547,The Shust Farmstead,施洗的农庄
21369130,Holy Martyr of Stendarr,斯坦达尔的圣烈士
22417712,Castle Lhishen,城堡Lhishen
23467165,The Tombs of Cofylt,Cofylt的坟墓
24516751,Fearful Tree of Stendarr,恐怖的Stendarr树
25565421,The T'arder Vaults,t'arder拱顶
26614955,Ruins of The Ghach Farmstead,加赫农斯特德废墟
27663535,Ruins of Tlurn'kern Palace,特恩凯尔宫的废墟
28712158,Mhurgin Manor,Mhurgin庄园
29760740,Weeping Redeemer of Stendarr,哭泣的Stendarr的救赎主
30810229,Ruins of Mhurp Orchard,m
31859850,The Azarus Web,Azarus网络
32910438,The Tower of Thuze,塔兹的塔
33959037,Ruins of Cyeghtan Manor,西格坦庄园的废墟
35008605,Kaloguja,Kaloguja
36057193,Ruins of Saullur Grange,sa
37106662,Ruins of Merim's Guard,梅里姆警卫的废墟
38155335,The Rat and Castle Tavern,老鼠和城堡小酒馆
39204823,Rlictta Grange,Rlictta Grange
40253489,Syro-Kom,Syro-Kom
41303972,Bleeding Light of Stendarr,Stendarr的流血光
42353413,Ruins of Old Lerkfa's Shack,旧勒克法棚的废墟
43402098,Ruins of Krofylen Court,克罗夫琳法院的废墟
44450710,The Tower of Caect'kern,Caect'kern塔
45499404,Bleeding Seer of Stendarr,Stendarr的出血先知
46548913,Ruins of Old Mhorci's Place,旧姆尔奇的废墟
47597527,The Tower of Baesum,宝贝塔
48647001,Hettubu,Hettubu
49695593,Ruins of Rairgke Hall,莱尔格·霍尔的废墟
50744174,Sekbith,Sekbith
51793622,Fholl Palace,Fholl Palace
52842419,The Devil's Mug Tavern,魔鬼的杯子小酒馆
