17,Oblivion,遗忘
1,Clavicus Vile,克拉维库斯·维尔
2,Mehrunes Dagon,梅鲁内斯大衮
3,Molag Bal,莫拉格巴尔
4,Hircine,海尔辛
5,Sanguine,乐观
6,Peryite,珍珠岩
7,Malacath,马拉卡斯
8,Hermaeus Mora,赫尔梅乌斯·莫拉
10,Boethiah,波耶西亚
11,Namira,娜米拉
12,Meridia,子午线
13,Vaernima,瓦尔尼玛
14,Nocturnal,夜
15,Mephala,梅法拉
356,The Night Mother,夜母
108,The Dark Brotherhood,黑暗兄弟会
839,Dark Trainers,黑暗训练师
840,Dark Mixers,黑暗混合器
841,Venom Masters,毒液大师
842,Dark Plotters,黑暗绘图员
843,Dark Binders,黑暗粘合剂
807,Dark Slayers,黑暗杀手
16,Azura,阿祖拉
9,Sheogorath,谢尔格拉
450,Generic Temple,通用寺庙
240,Temple Missionaries,圣殿传教士
810,Temple Treasurers,寺庙司库
813,Temple Healers,圣殿治疗师
811,Temple Blessers,圣殿祝福者
25,Ebonarm,埃博纳姆
90,The Citadel of Ebonarm,埃波纳姆城堡
91,The Battlelords,战阀
21,Arkay,阿尔凯
82,The Order of Arkay,阿尔凯骑士团
83,The Knights of the Circle,圆环骑士团
453,Apothecaries of Arkay,阿尔凯的药剂师
454,Mixers of Arkay,Arkay 的搅拌机
456,Summoners of Arkay,阿尔凯的召唤者
455,Binders of Arkay,阿尔凯的绑缚者
241,Teachers of Arkay,阿尔凯的老师
22,Zen,禅
84,The Resolution of Z'en,禅的决心
85,The Knights of Iron,钢铁骑士团
462,Apothecaries of Z'en,禅宗药剂师
463,Mixers of Z'en,Zen 的搅拌机
464,Summonists of Z'en,禅宗召唤师
243,Teachers of Z'en,禅师
24,Mara,玛拉
88,The Benevolence of Mara,玛拉的仁慈
402,Lord Quistley,奎斯特利勋爵
89,The Maran Knights,马兰骑士团
468,Apothecaries of Mara,玛拉的药剂师
469,Mixers of Mara,马拉的搅拌机
470,Summoners of Mara,玛拉的召唤者
245,Teachers of Mara,玛拉的老师
26,Akatosh,阿卡托什
92,The Akatosh Chantry,阿卡托什教堂
93,The Order of the Hour,当下的顺序
385,Charvek-si,查维克市
473,Apothecaries of Akatosh,阿卡托什的药剂师
474,Mixers of Akatosh,阿卡托什的搅拌机
475,Summoners of Akatosh,阿卡托什的召唤者
247,Teachers of Akatosh,阿卡托什的老师
27,Julianos,胡利亚诺斯
94,The School of Julianos,朱利亚诺斯学校
95,The Knights Mentor,骑士导师
407,Br'itsa,布里萨
